year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths
2025,14,2025-04-01,02-04-2025,Tamil Nadu,Sivaganga,Mumps,Reported,12,0
2025,14,2025-03-29,31-03-2025,Tamil Nadu,Sivaganga,Hepatitis A,Reported,5,0
2025,14,2025-04-04,05-04-2025,Tamil Nadu,Tiruvallur,Dengue,Reported,11,0
2025,14,2025-04-05,05-04-2025,Tamil Nadu,Tiruchirappalli,Mumps,Reported,7,0
2025,14,2025-04-02,03-04-2025,Tamil Nadu,Virudhunagar,Hepatitis A,Reported,21,0
2025,14,2025-03-31,01-04-2025,Uttarakhand,Dehradun,Food Poisoning,Reported,383,0
2025,14,2025-03-31,03-04-2025,Uttarakhand,Haridwar,Food Poisoning,Reported,34,0
2025,14,2025-04-02,02-04-2025,West Bengal,Purba Barshaman,Acute Diarrheal Disease,Reported,23,0
2025,14,2025-01-30,,Bihar,Purbi Champaran,Fever With Rash,Reported Late,6,0
2025,14,2025-03-27,,Manipur,Churachandpur,Human Rabies,Reported Late,3,1
2025,14,2025-03-27,,Odisha,Koraput,Measles,Reported Late,21,0
2025,14,2025-03-15,,Uttar Pradesh,Agra,Measles,Reported Late,25,0
2025,13,2025-03-29,29-03-2025,Assam,Jorhat,Acute Diarrheal Disease,Reported,13,0
2025,13,2025-03-29,29-03-2025,Assam,Lakhimpur,Food Poisoning,Reported,38,0
2025,13,2025-03-20,24-03-2025,Bihar,Sitamarhi,Food Poisoning,Reported,40,0
2025,13,2025-03-22,26-03-2025,Chhattisgarh,Raipur,Typhoid,Reported,13,1
2025,13,2025-03-25,25-03-2025,Gujarat,Anand,Hepatitis A,Reported,49,0
2025,13,2025-03-27,28-03-2025,Haryana,Kurukshetra,Acute Diarrheal Disease,Reported,12,0
2025,13,2025-03-22,24-03-2025,Jammu And Kashmir,Ganderbal,Hepatitis A,Reported,12,0
2025,13,2025-03-27,27-03-2025,Jammu And Kashmir,Kulgam,Hepatitis A,Reported,11,0
2025,13,2025-03-26,26-03-2025,Jharkhand,Bokaro,Fever With Rash,Reported,6,0
2025,13,2025-03-23,24-03-2025,Jharkhand,Dumka,Chickenpox,Reported,7,0
2025,13,2025-03-27,28-03-2025,Jharkhand,East Singhbhum,Chickenpox,Reported,5,0
2025,13,2025-03-25,26-03-2025,Jharkhand,Khunti,Chickenpox,Reported,3,0
2025,13,2025-03-24,24-03-2025,Jharkhand,Khunti,Chickenpox,Reported,12,0
2025,13,2025-03-25,27-03-2025,Jharkhand,Ranchi,Chickenpox,Reported,5,0
2025,13,2025-03-28,28-03-2025,Jharkhand,West Singhbhum,Acute Diarrheal Disease,Reported,20,0
2025,13,2025-03-26,26-03-2025,Kerala,Ernakulam,Acute Diarrheal Disease,Reported,16,0
2025,13,2025-03-27,27-03-2025,Kerala,Idukki,Food Poisoning,Reported,55,0
2025,13,2025-03-26,27-03-2025,Kerala,Idukki,Acute Diarrheal Disease,Reported,42,0
2025,13,2025-03-21,26-03-2025,Kerala,Kannur,Hepatitis A,Reported,35,0
2025,13,2025-03-26,26-03-2025,Kerala,Kannur,Hepatitis A,Reported,29,0
2025,13,2025-02-27,27-03-2025,Kerala,Kozhikode,West Nile Fever,Reported,2,0
2025,13,2025-03-24,26-03-2025,Kerala,Thrissur,Dengue,Reported,17,0
2025,13,2025-03-22,24-03-2025,Kerala,Wayanad,Acute Diarrheal Disease,Reported,16,0
2025,13,2025-03-27,27-03-2025,Madhya Pradesh,Damoh,Measles,Reported,36,0
2025,13,2025-03-25,25-03-2025,Madhya Pradesh,Narsinghpur,Chickenpox,Reported,7,0
2025,13,2025-03-26,27-03-2025,Odisha,Khordha,Hepatitis A,Reported,0,0
2025,13,2025-03-27,29-03-2025,Tamil Nadu,Coimbatore,Chickenpox,Reported,22,0
2025,13,2025-03-30,30-03-2025,Tamil Nadu,Dharmapuri,Chickenpox,Reported,18,0
2025,13,2025-03-28,29-03-2025,Tamil Nadu,Dindigul,Acute Diarrheal Disease,Reported,51,0
2025,13,2025-03-24,25-03-2025,Tamil Nadu,Dindigul,Chickenpox,Reported,10,0
2025,13,2025-03-23,25-03-2025,Tamil Nadu,Kanniyakumari,Food Poisoning,Reported,18,0
2025,13,2025-03-27,28-03-2025,Tamil Nadu,Theni,Chickenpox,Reported,6,0
2025,13,2025-03-22,28-03-2025,West Bengal,Hooghly,Typhoid,Reported,18,0
2025,13,2025-01-27,,Andhra Pradesh,Guntur,Cholera,Reported Late,18,0
2025,13,2025-03-14,,Chhattisgarh,Bilaspur,Measles,Reported Late,31,0
2025,13,2025-02-27,,Jharkhand,Giridih,Chickenpox,Reported Late,7,0
2025,13,2025-02-24,,Madhya Pradesh,Rewa,Scrub Typhus,Reported Late,17,0
2025,13,2025-03-18,,Madhya Pradesh,Shivpuri,Measles,Reported Late,6,0
2025,13,2025-03-18,,Manipur,Ukhrul,Measles,Reported Late,37,0
2025,13,2025-03-18,,Meghalaya,South West Garo Hills,Chickenpox,Reported Late,3,0
2025,12,2025-03-18,18-03-2025,Assam,Bongaigaon,Chickenpox,Reported,8,0
2025,12,2025-03-20,21-03-2025,Bihar,Begusarai,Fever With Rash,Reported,32,0
2025,12,2025-03-21,21-03-2025,Bihar,Begusarai,Fever With Rash,Reported,10,0
2025,12,2025-03-18,20-03-2025,Chhattisgarh,Raipur,Typhoid,Reported,11,1
2025,12,2025-03-17,17-03-2025,Gujarat,Ahmedabad,Cholera,Reported,71,0
2025,12,2025-03-18,18-03-2025,Gujarat,Jamnagar,Measles,Reported,4,0
2025,12,2025-03-16,17-03-2025,Gujarat,Patan,Hepatitis A,Reported,10,0
2025,12,2025-03-22,22-03-2025,Jammu And Kashmir,Jammu,Hmpv,Reported,1,0
2025,12,2025-03-15,22-03-2025,Jammu And Kashmir,Jammu,Hepatitis A,Reported,10,0
2025,12,2025-03-17,18-03-2025,Jharkhand,Dumka,Chickenpox,Reported,18,0
2025,12,2025-03-22,23-03-2025,Jharkhand,East Singhbhum,Chickenpox,Reported,14,0
2025,12,2025-03-23,23-03-2025,Jharkhand,Sahebganj,Malaria,Reported,67,0
2025,12,2025-03-16,19-03-2025,Karnataka,Chitradurga,Food Poisoning,Reported,40,0
2025,12,2025-03-17,18-03-2025,Karnataka,Davangere,Food Poisoning,Reported,24,0
2025,12,2025-03-18,18-03-2025,Karnataka,Hassan,Acute Diarrheal Disease,Reported,11,0
2025,12,2025-03-16,17-03-2025,Karnataka,Mandya,Food Poisoning,Reported,128,0
2025,12,2025-03-21,23-03-2025,Kerala,Ernakulam,Chickenpox,Reported,18,0
2025,12,2025-03-15,22-03-2025,Kerala,Kannur,Hepatitis A,Reported,40,0
2025,12,2025-03-14,18-03-2025,Kerala,Kannur,Hepatitis A,Reported,39,0
2025,12,2025-03-15,21-03-2025,Kerala,Kottayam,Hepatitis A,Reported,9,0
2025,12,2025-03-17,19-03-2025,Kerala,Kottayam,Acute Diarrheal Disease,Reported,28,0
2025,12,2025-03-13,18-03-2025,Kerala,Kottayam,Hepatitis A,Reported,21,0
2025,12,2025-03-15,17-03-2025,Kerala,Kottayam,Acute Diarrheal Disease,Reported,56,0
2025,12,2025-03-17,20-03-2025,Kerala,Malappuram,Mpox,Reported,1,0
2025,12,2025-03-18,18-03-2025,Kerala,Wayanad,Hepatitis A,Reported,42,0
2025,12,2025-03-13,18-03-2025,Madhya Pradesh,Narsinghpur,Mumps,Reported,4,0
2025,12,2025-03-17,17-03-2025,Maharashtra,Kolhapur,Hepatitis A,Reported,15,0
2025,12,2025-03-21,22-03-2025,Manipur,Senapati,Others,Reported,52,0
2025,12,2025-03-16,21-03-2025,Meghalaya,West Khasi Hills,Human Rabies,Reported,1,1
2025,12,2025-03-20,20-03-2025,Tamil Nadu,Salem,Mumps,Reported,10,0
2025,12,2025-03-23,23-03-2025,Tamil Nadu,Tenkasi,Hepatitis A And E,Reported,13,0
2025,12,2025-03-21,22-03-2025,Tamil Nadu,Tenkasi,Hepatitis A And E,Reported,9,0
2025,12,2025-03-19,23-03-2025,Tamil Nadu,Theni,Chickenpox,Reported,6,0
2025,12,2025-03-20,20-03-2025,Uttarakhand,Dehradun,Hepatitis A,Reported,12,0
2025,12,2025-03-22,22-03-2025,West Bengal,24 Paraganas South,Food Poisoning,Reported,97,0
2025,12,2025-03-19,21-03-2025,West Bengal,Howrah,Chickenpox,Reported,19,0
2025,12,2025-03-17,17-03-2025,West Bengal,Medinipur East,Food Poisoning,Reported,80,0
2025,12,2025-03-20,21-03-2025,West Bengal,Medinipur West,Acute Gastroenteritis,Reported,35,0
2025,12,2025-03-19,20-03-2025,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,Reported,15,0
2025,12,2025-03-11,,Assam,Tamulpur,Human Rabies,Reported Late,1,1
2025,12,2025-03-06,,Jharkhand,Ranchi,Measles,Reported Late,6,0
2025,12,2025-03-07,,Madhya Pradesh,Bhopal,Measles,Reported Late,7,0
2025,12,2025-02-20,,Sikkim,Gyalshing,Typhoid,Reported Late,19,0
2025,11,2025-03-08,13-03-2025,Andhra Pradesh,Parvathipuram Manyam,Acute Diarrheal Disease,Reported,19,0
2025,11,2025-03-11,11-03-2025,Assam,Barpeta,Fever,Reported,29,1
2025,11,2025-03-10,11-03-2025,Assam,Charaideo,Mumps,Reported,4,0
2025,11,2025-03-13,13-03-2025,Assam,Hailakandi,Fever With Rash,Reported,15,1
2025,11,2025-03-07,10-03-2025,Bihar,Purnia,Acute Diarrheal Disease,Reported,8,0
2025,11,2025-03-10,10-03-2025,Gujarat,Sabarkantha,Fever With Rash,Reported,7,0
2025,11,2025-03-11,11-03-2025,Jammu And Kashmir,Badgam,Human Rabies,Reported,1,0
2025,11,2025-03-09,10-03-2025,Jharkhand,Dumka,Fever With Rash,Reported,8,0
2025,11,2025-03-11,11-03-2025,Jharkhand,East Singhbum,Chickenpox,Reported,25,0
2025,11,2025-03-10,10-03-2025,Jharkhand,East Singhbum,Chickenpox,Reported,22,0
2025,11,2025-03-11,11-03-2025,Jharkhand,Khunti,Chickenpox,Reported,25,0
2025,11,2025-03-13,13-03-2025,Karnataka,Belagavi,Hepatitis A,Reported,16,0
2025,11,2025-03-13,13-03-2025,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,21,0
2025,11,2025-03-10,10-03-2025,Karnataka,Chikballapur,Acute Diarrheal Disease,Reported,12,0
2025,11,2025-03-07,10-03-2025,Karnataka,Hassan,Food Poisoning,Reported,14,0
2025,11,2025-03-11,13-03-2025,Kerala,Ernakulam,Meningitis,Reported,5,0
2025,11,2025-03-14,14-03-2025,Kerala,Kozhikode,Hepatitis A,Reported,58,0
2025,11,2025-03-13,13-03-2025,Kerala,Palakkad,Food Poisoning,Reported,152,0
2025,11,2025-03-08,10-03-2025,Kerala,Palakkad,Acute Diarrheal Disease,Reported,10,0
2025,11,2025-03-12,12-03-2025,Madhya Pradesh,Datia,Food Poisoning,Reported,51,0
2025,11,2025-03-12,12-03-2025,Madhya Pradesh,Dindori,Malaria,Reported,9,0
2025,11,2025-03-10,10-03-2025,Madhya Pradesh,Gwalior,Measles,Reported,5,0
2025,11,2025-03-12,12-03-2025,Maharashtra,Bhandara,Acute Diarrheal Disease,Reported,24,0
2025,11,2025-03-10,10-03-2025,Maharashtra,Bhandara,Fever With Rash,Reported,13,0
2025,11,2025-03-10,13-03-2025,Maharashtra,Jalgaon,Measles,Reported,3,0
2025,11,2025-03-10,10-03-2025,Nagaland,Dimapur,Human Rabies,Reported,1,0
2025,11,2025-03-07,10-03-2025,Punjab,Sri Muktsar Sahib,Chickenpox,Reported,27,0
2025,11,2025-03-10,10-03-2025,Rajasthan,Jalore,Food Poisoning,Reported,22,0
2025,11,2025-03-12,12-03-2025,Tamil Nadu,Coimbatore,Chickenpox,Reported,15,0
2025,11,2025-03-10,11-03-2025,Tamil Nadu,Mayiladuthurai,Mumps,Reported,20,0
2025,11,2025-03-14,15-03-2025,Tamil Nadu,Ranipet,Human Rabies,Reported,1,0
2025,11,2025-03-08,10-03-2025,Tamil Nadu,Tirupathur,Chickenpox,Reported,15,0
2025,11,2025-03-13,13-03-2025,Tripura,South Tripura,Food Poisoning,Reported,85,0
2025,11,2025-03-11,13-03-2025,West Bengal,Howrah,Hepatitis A,Reported,22,0
2025,11,2025-03-12,12-03-2025,West Bengal,Medinipur East,Acute Diarrheal Disease,Reported,59,0
2025,11,2025-03-11,13-03-2025,West Bengal,Medinipur West,Acute Diarrheal Disease,Reported,14,0
2025,11,2025-03-07,11-03-2025,West Bengal,Paschim Bardhaman,Hepatitis A,Reported,42,0
2025,11,2025-03-06,,Bihar,Munger,Fever With Rash,Reported,9,0
2025,11,2025-02-13,,Karnataka,Bagalkot,Chickenpox,Reported,7,0
2025,11,2025-03-05,,Kerala,Alappuzha,Mpox,Reported,1,0
2025,11,2025-03-06,,Kerala,Kottayam,Mumps,Reported,17,0
2025,11,2025-02-27,,Mizoram,Lawngtlai,Measles,Reported,4,0
2025,11,2025-02-10,,Odisha,Malkangiri,Food Poisoning,Reported,30,1
2025,10,2025-02-28,03-03-2025,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,Reported,19,0
2025,10,2025-03-06,06-03-2025,Assam,Bongaigaon,Acute Diarrheal Disease,Reported,5,0
2025,10,2025-03-07,07-03-2025,Assam,Nagaon,Human Rabies,Reported,1,0
2025,10,2025-03-04,05-03-2025,Assam,Nagaon,Human Rabies,Reported,1,0
2025,10,2025-02-28,03-03-2025,Bihar,Jehanabad,Chickenpox,Reported,11,0
2025,10,2025-02-05,06-03-2025,Bihar,Samastipur,Fever With Rash,Reported,7,0
2025,10,2025-03-08,09-03-2025,Bihar,Vaishali,Fever With Rash,Reported,8,0
2025,10,2025-03-07,07-03-2025,Chhattisgarh,Dantewada,Food Poisoning,Reported,11,0
2025,10,2025-02-03,03-03-2025,Chhattisgarh,Durg,Jaundice,Reported,71,0
2025,10,2025-03-06,07-03-2025,Chhattisgarh,Surguja,Food Poisoning,Reported,10,0
2025,10,2025-03-01,03-03-2025,Gujarat,Kachchh,Acute Diarrheal Disease,Reported,12,0
2025,10,2025-03-07,08-03-2025,Gujarat,Panchmahals,Acute Hepatitis A,Reported,16,0
2025,10,2025-03-04,04-03-2025,Jammu And Kashmir,Badgam,Rabies,Reported,1,0
2025,10,2025-03-03,03-03-2025,Jharkhand,Latehar,Paratyphoid,Reported,30,1
2025,10,2025-03-03,03-03-2025,Jharkhand,Latehar,Paratyphoid,Reported,68,1
2025,10,2025-03-08,08-03-2025,Jharkhand,West Singhbhum,Fever With Rash,Reported,9,0
2025,10,2025-03-06,06-03-2025,Karnataka,Dakshin Kannad,Kannad,Reported,57,0
2025,10,2025-03-03,03-03-2025,Karnataka,Mandya,Cholera,Reported,39,0
2025,10,2025-03-08,08-03-2025,Kerala,Ernakulam,Dengue,Reported,9,0
2025,10,2025-02-28,03-03-2025,Kerala,Ernakulam,Acute Gastroentiritis,Reported,9,0
2025,10,2025-03-06,06-03-2025,Kerala,Palakkad,Hepatitis A,Reported,45,0
2025,10,2025-03-07,09-03-2025,Kerala,Pathanamthitta,Acute Gastroentiritis,Reported,102,0
2025,10,2025-03-05,05-03-2025,Kerala,Pathanamthitta,Mumps,Reported,17,0
2025,10,2025-03-04,05-03-2025,Kerala,Thrissur,Acute Hepatitis A,Reported,17,0
2025,10,2025-03-04,06-03-2025,Kerala,Wayanad,Chickenpox,Reported,6,0
2025,10,2025-02-27,03-03-2025,Madhya Pradesh,Chhatarpur,Measles,Reported,5,0
2025,10,2025-03-07,07-03-2025,Madhya Pradesh,Gwalior,Dengue,Reported,2,0
2025,10,2025-03-07,07-03-2025,Maharashtra,Latur,Chickenpox,Reported,22,0
2025,10,2025-02-27,03-03-2025,Maharashtra,Nagpur,Acute Diarrheal Disease,Reported,109,0
2025,10,2025-03-02,03-03-2025,Maharashtra,Nagpur,Acute Diarrheal Disease,Reported,61,0
2025,10,2025-03-07,07-03-2025,Maharashtra,Washim,Chikungunya,Reported,7,0
2025,10,2025-02-24,03-03-2025,Meghalaya,West Khasi Hills,Khasi,Reported,1,1
2025,10,2025-03-03,05-03-2025,Odisha,Ganjam,Cholera,Reported,39,0
2025,10,2025-03-05,06-03-2025,Odisha,Kendujhar,Acute Diarrheal Disease,Reported,10,0
2025,10,2025-02-28,04-03-2025,Rajasthan,Jaipur,Food Poisoning,Reported,37,0
2025,10,2025-03-08,08-03-2025,Tamil Nadu,Coimbatore,Chickenpox,Reported,12,0
2025,10,2025-03-07,08-03-2025,Tamil Nadu,Coimbatore,Mumps,Reported,21,0
2025,10,2025-03-07,07-03-2025,Tamil Nadu,Mayiladuthurai,Mumps,Reported,6,0
2025,10,2025-03-05,05-03-2025,Tamil Nadu,Mayiladuthurai,Mumps,Reported,4,0
2025,10,2025-03-03,03-03-2025,Tamil Nadu,Pudukkottai,Mumps,Reported,6,0
2025,10,2025-03-03,03-03-2025,Tamil Nadu,Ramanathapuram,Mumps,Reported,9,0
2025,10,2025-03-08,08-03-2025,Tamil Nadu,Tenkasi,Acute Hepatitis E,Reported,7,0
2025,10,2025-03-01,03-03-2025,Tamil Nadu,Thanjavur,Chickenpox,Reported,20,0
2025,10,2025-03-07,07-03-2025,Tamil Nadu,Vellore,Pertussis,Reported,1,0
2025,10,2025-02-28,05-03-2025,Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,Reported,29,0
2025,10,2025-03-05,06-03-2025,West Bengal,Birbhum,Acute Gastroentiritis,Reported,278,0
2025,10,2025-03-03,05-03-2025,West Bengal,Birbhum,Acute Diarrheal Disease,Reported,22,0
2025,10,2025-03-04,04-03-2025,West Bengal,Birbhum,Acute Diarrheal Disease,Reported,96,0
2025,10,2025-03-06,06-03-2025,West Bengal,Medinipur East,Food Poisoning,Reported,59,0
2025,10,2025-03-07,07-03-2025,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,Reported,18,0
2025,10,2025-03-07,08-03-2025,West Bengal,Purulia,Food Poisoning,Reported,40,0
2025,10,2025-02-25,,Andhra Pradesh,Konaseema,Food Poisoning,Reported Late,14,0
2025,10,2025-02-26,,Madhya Pradesh,Anuppur,Food Poisoning,Reported Late,40,0
2025,10,2025-02-25,,Madhya Pradesh,Chhatarpur,Measles,Reported Late,13,0
2025,10,2025-02-08,,Uttar Pradesh,Bhadohi,Measles,Reported Late,5,0
2025,9,2025-02-24,01-03-2025,Andhra Pradesh,Konaseema,Mumps,Reported In Same Week,30,0
2025,9,2025-03-01,01-03-2025,Assam,Darrang,Acute Diarrheal Disease,Reported In Same Week,28,0
2025,9,2025-02-28,01-03-2025,Assam,Chirang,Rubella,Reported In Same Week,19,0
2025,9,2025-02-27,27-02-2025,Assam,Jorhat,Fever,Reported In Same Week,20,0
2025,9,2025-02-27,28-02-2025,Assam,Udalguri,Fever,Reported In Same Week,35,0
2025,9,2025-02-25,25-02-2025,Assam,Jorhat,Fever,Reported In Same Week,26,0
2025,9,2025-02-25,26-02-2025,Assam,Majuli,Acute Diarrheal Disease,Reported In Same Week,26,0
2025,9,2025-02-27,01-03-2025,Bihar,Purbi,Champaran,Reported In Same Week,16,0
2025,9,2025-02-25,27-02-2025,Bihar,Begusarai,Fever With Rash,Reported In Same Week,27,0
2025,9,2025-02-24,25-02-2025,Bihar,Begusarai,Fever With Rash,Reported In Same Week,13,0
2025,9,2025-02-25,27-02-2025,Chhattisgarh,Dhamtari,Food Poisoning,Reported In Same Week,113,0
2025,9,2025-02-23,24-02-2025,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,Reported In Same Week,23,0
2025,9,2025-01-28,,Chhattisgarh,Narayanpur,Measles And Rubella,Reported Late,13,4
2025,9,2025-02-24,25-02-2025,Goa,South Goa,Acute Diarrheal Disease,Reported In Same Week,13,0
2025,9,2025-02-24,27-02-2025,Gujarat,Amreli,Acute Diarrheal Disease,Reported In Same Week,53,0
2025,9,2025-02-27,27-02-2025,Jammu And Kashmir,Badgam,Hepatitis A And E,Reported In Same Week,10,0
2025,9,2025-02-24,25-02-2025,Jammu And Kashmir,Baramulla,Hepatitis A,Reported In Same Week,22,0
2025,9,2025-03-01,01-03-2025,Jharkhand,Palamu,Scrub Typhus,Reported In Same Week,5,0
2025,9,2025-02-27,27-02-2025,Jharkhand,East Singhbum,Chickenpox,Reported In Same Week,17,0
2025,9,2025-02-27,28-02-2025,Jharkhand,Hazaribagh,Chickenpox,Reported In Same Week,9,0
2025,9,2025-02-27,27-02-2025,Karnataka,Belagavi,Food Poisoning,Reported In Same Week,62,0
2025,9,2025-02-25,25-02-2025,Karnataka,Uttar Kannad,Acute Diarrheal Disease,Reported In Same Week,30,0
2025,9,2025-02-21,27-02-2025,Karnataka,Vijayapura,Chikungunya,Reported In Same Week,5,0
2025,9,2025-01-23,24-02-2025,Karnataka,Kalaburagi,Food Poisoning,Reported In Same Week,21,0
2025,9,2025-03-01,01-03-2025,Kerala,Thiruvananthapuram,Food Poisoning,Reported In Same Week,156,0
2025,9,2025-02-28,28-02-2025,Kerala,Kozhikode,Mpox,Reported In Same Week,1,0
2025,9,2025-02-28,01-03-2025,Kerala,Malappuram,Chickenpox,Reported In Same Week,11,0
2025,9,2025-02-28,28-02-2025,Kerala,Thiruvananthapuram,Acute Diarrheal Disease,Reported In Same Week,31,0
2025,9,2025-02-28,01-03-2025,Kerala,Wayanad,Acute Diarrheal Disease,Reported In Same Week,104,0
2025,9,2025-02-27,01-03-2025,Kerala,Kasaragod,Mpox,Reported In Same Week,1,0
2025,9,2025-02-26,28-02-2025,Kerala,Ernakulam,Hepatitis A,Reported In Same Week,8,0
2025,9,2025-02-26,26-02-2025,Kerala,Palakkad,Mumps,Reported In Same Week,38,0
2025,9,2025-02-24,27-02-2025,Kerala,Malappuram,Hepatitis A,Reported In Same Week,33,0
2025,9,2025-02-22,24-02-2025,Kerala,Kollam,Hepatitis,Reported In Same Week,34,0
2025,9,2025-02-21,25-02-2025,Madhya Pradesh,Ratlam,Food Poisoning,Reported In Same Week,18,0
2025,9,2025-02-06,,Madhya Pradesh,Chhatarpur,Measles,Reported Late,14,0
2025,9,2025-01-28,,Madhya Pradesh,Betul,Cholera,Reported Late,69,0
2025,9,2025-03-01,01-03-2025,Maharashtra,Kolhapur,Food Poisoning,Reported In Same Week,24,0
2025,9,2025-03-01,02-03-2025,Maharashtra,Palaghar,Acute Diarrheal Disease,Reported In Same Week,23,0
2025,9,2025-02-26,01-03-2025,Maharashtra,Jalgaon,Jaundice,Reported In Same Week,12,0
2025,9,2025-02-25,25-02-2025,Maharashtra,Sangli,Hepatitis A,Reported In Same Week,34,0
2025,9,2025-02-24,25-02-2025,Maharashtra,Sangli,Food Poisoning,Reported In Same Week,67,0
2025,9,2025-02-27,27-02-2025,Meghalaya,South Garo Hills,Acute Diarrheal Disease,Reported In Same Week,9,0
2025,9,2025-02-26,26-02-2025,Meghalaya,North Garo Hills,Typhoid,Reported In Same Week,39,0
2025,9,2025-02-27,28-02-2025,Nagaland,Dimapur,Human Rabies,Reported In Same Week,1,0
2025,9,2025-02-24,25-02-2025,Nagaland,Dimapur,Human Rabies,Reported In Same Week,1,0
2025,9,2025-02-24,24-02-2025,Tamil Nadu,Namakkal,Mumps,Reported In Same Week,9,0
2025,9,2025-02-24,25-02-2025,Tamil Nadu,Thanjavur,Chickenpox,Reported In Same Week,20,0
2025,9,2025-02-24,01-03-2025,Uttar Pradesh,Lalitpur,Measles,Reported In Same Week,18,0
2025,9,2025-03-02,02-03-2025,West Bengal,Hooghly,Cholera,Reported In Same Week,11,0
2025,9,2025-02-28,28-02-2025,West Bengal,Alipurduar,Chickenpox,Reported In Same Week,15,0
2025,9,2025-02-25,25-02-2025,West Bengal,Nadia,Food Poisoning,Reported In Same Week,74,0
2025,8,2025-02-20,22-02-2025,Andhra Pradesh,Nandamuri Taraka Rama Rao,Food Poisoning,Reported In Same Week,9,0
2025,8,2025-02-20,22-02-2025,Andhra Pradesh,Visakhapatanam,Food Poisoning,Reported In Same Week,8,0
2025,8,2025-01-24,,Andhra Pradesh,Sri Potti Sriramulu Nellore,Food Poisoning,Reported Late,10,0
2025,8,2025-02-11,,Arunachal Pradesh,Upper Siang,Rabies,Reported Late,1,0
2025,8,2025-02-21,23-02-2025,Assam,Nalbari,Chickenpox,Reported In Same Week,11,0
2025,8,2025-02-20,20-02-2025,Assam,Kamrup Metro,Typhoid,Reported In Same Week,5,0
2025,8,2025-02-20,20-02-2025,Assam,Sonitpur,Acute Diarrheal Disease,Reported In Same Week,16,1
2025,8,2025-02-18,18-02-2025,Assam,Nagaon,Food Poisoning,Reported In Same Week,16,0
2025,8,2025-02-14,17-02-2025,Assam,Nalbari,Chickenpox,Reported In Same Week,5,0
2025,8,2025-02-18,20-02-2025,Bihar,Begusarai,Fever With Rash,Reported In Same Week,14,0
2025,8,2025-02-18,18-02-2025,Bihar,Begusarai,Fever With Rash,Reported In Same Week,12,0
2025,8,2025-02-18,18-02-2025,Bihar,Madhepura,Fever With Rash,Reported In Same Week,14,0
2025,8,2025-02-17,21-02-2025,Bihar,Pashchim Champaran,Fever With Rash,Reported In Same Week,10,0
2025,8,2025-01-21,,Chhattisgarh,Raipur,Typhoid,Reported Late,11,1
