"Timestamp","Which area/city do you live in?   (ALL CAPS)","Before this survey, had you heard of the term ""AQI"" (Air Quality Index)?  ","What do you think a HIGH AQI number (e.g., 350) means?  ","Which of these health issues do you think are linked to poor air quality? (Select all that apply)  ","On a scale of 1 to 5, how concerned are you about the health impact of air pollution?  "
"2025/08/04 7:43:19 am GMT+5:30","HYD","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/04 9:21:59 am GMT+5:30","HYDERABAD ","YES","The air quality is very good.","Coughing / Throat irritation;I'm not sure","4 : Very concerned"
"2025/08/04 10:52:18 am GMT+5:30","Hyderabad ","NO","The air quality is very good.","Skin problems","3 : Moderately concerned"
"2025/08/04 11:46:56 am GMT+5:30","Hyderabad ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 11:58:25 am GMT+5:30","KPHB","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/04 12:01:16 pm GMT+5:30","MAISAMMAGUDA ","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Skin problems","5 : Extremely concerned"
"2025/08/04 12:07:02 pm GMT+5:30","HYDERABAD ","NO","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues","3 : Moderately concerned"
"2025/08/04 12:08:06 pm GMT+5:30","HYDERABAD ","NO","I'm not sure.","I'm not sure","5 : Extremely concerned"
"2025/08/04 12:17:10 pm GMT+5:30","Hyderabad","NO","I'm not sure.","Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 12:18:32 pm GMT+5:30","HYD","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/04 12:19:03 pm GMT+5:30","HYD ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/04 1:56:46 pm GMT+5:30","HYDERABAD ","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/04 5:34:38 pm GMT+5:30","HYDERABAD","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 8:46:04 pm GMT+5:30","Kukatpally","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma","1 : Not at all concerned"
"2025/08/04 8:47:31 pm GMT+5:30","HITECH CITY","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/04 8:48:39 pm GMT+5:30","JUBILEE HILLS","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/05 8:39:43 am GMT+5:30","TUKARAMGATE","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/05 10:04:27 am GMT+5:30","MYSAMMAGUDA","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/05 10:06:42 am GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/05 10:07:23 am GMT+5:30","HYDERABAD ","YES","I'm not sure.","Breathing problems / Asthma","4 : Very concerned"
"2025/08/05 10:32:51 pm GMT+5:30","HYDERABAD ","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
